model,weight,auc,prob_threshold,TP,FP,FN,TN,n_positive,n_negative,recall,fn_rate,specificity,fp_rate,precision,tn_fp_ratio,large_threshold,n_train_large,n_test_large
RF,1,0.6060355518809426,0.05,41,59,0,0,41,59,1.0,0.0,0.0,1.0,0.41,0.0,0.05,97,41
RF,1,0.6060355518809426,0.1,40,58,1,1,41,59,0.975609756097561,0.024390243902439025,0.01694915254237288,0.9830508474576272,0.40816326530612246,0.017241379310344827,0.05,97,41
RF,1,0.6060355518809426,0.15000000000000002,38,55,3,4,41,59,0.926829268292683,0.07317073170731707,0.06779661016949153,0.9322033898305084,0.40860215053763443,0.07272727272727272,0.05,97,41
RF,1,0.6060355518809426,0.2,36,50,5,9,41,59,0.8780487804878049,0.12195121951219512,0.15254237288135594,0.847457627118644,0.4186046511627907,0.18,0.05,97,41
RF,1,0.6060355518809426,0.25,32,44,9,15,41,59,0.7804878048780488,0.21951219512195122,0.2542372881355932,0.7457627118644068,0.42105263157894735,0.3409090909090909,0.05,97,41
RF,1,0.6060355518809426,0.3,32,40,9,19,41,59,0.7804878048780488,0.21951219512195122,0.3220338983050847,0.6779661016949152,0.4444444444444444,0.475,0.05,97,41
RF,1,0.6060355518809426,0.35000000000000003,29,30,12,29,41,59,0.7073170731707317,0.2926829268292683,0.4915254237288136,0.5084745762711864,0.4915254237288136,0.9666666666666667,0.05,97,41
RF,1,0.6060355518809426,0.4,27,26,14,33,41,59,0.6585365853658537,0.34146341463414637,0.559322033898305,0.4406779661016949,0.5094339622641509,1.2692307692307692,0.05,97,41
RF,1,0.6060355518809426,0.45,20,19,21,40,41,59,0.4878048780487805,0.5121951219512195,0.6779661016949152,0.3220338983050847,0.5128205128205128,2.1052631578947367,0.05,97,41
RF,1,0.6060355518809426,0.5,9,10,32,49,41,59,0.21951219512195122,0.7804878048780488,0.8305084745762712,0.1694915254237288,0.47368421052631576,4.9,0.05,97,41
RF,1,0.6060355518809426,0.55,5,3,36,56,41,59,0.12195121951219512,0.8780487804878049,0.9491525423728814,0.05084745762711865,0.625,18.666666666666668,0.05,97,41
RF,1,0.6060355518809426,0.6000000000000001,2,1,39,58,41,59,0.04878048780487805,0.9512195121951219,0.9830508474576272,0.01694915254237288,0.6666666666666666,58.0,0.05,97,41
