model,weight,auc,prob_threshold,TP,FP,FN,TN,n_positive,n_negative,recall,fn_rate,specificity,fp_rate,precision,tn_fp_ratio,large_threshold,n_train_large,n_test_large,mapping,event,instrument,n_train,n_test,train_start,train_end,test_start,test_end
RF,1,0.607026397515528,0.05,92,140,0,0,92,140,1.0,0.0,0.0,1.0,0.39655172413793105,0.0,0.05,379,92,CPI_PREDICTED->YIELD_10Y,CPI_PREDICTED,YIELD_10Y,542,232,1982-01-22,2006-05-17,2006-06-14,2025-10-24
RF,1,0.607026397515528,0.1,92,140,0,0,92,140,1.0,0.0,0.0,1.0,0.39655172413793105,0.0,0.05,379,92,CPI_PREDICTED->YIELD_10Y,CPI_PREDICTED,YIELD_10Y,542,232,1982-01-22,2006-05-17,2006-06-14,2025-10-24
RF,1,0.607026397515528,0.15000000000000002,92,140,0,0,92,140,1.0,0.0,0.0,1.0,0.39655172413793105,0.0,0.05,379,92,CPI_PREDICTED->YIELD_10Y,CPI_PREDICTED,YIELD_10Y,542,232,1982-01-22,2006-05-17,2006-06-14,2025-10-24
RF,1,0.607026397515528,0.2,92,140,0,0,92,140,1.0,0.0,0.0,1.0,0.39655172413793105,0.0,0.05,379,92,CPI_PREDICTED->YIELD_10Y,CPI_PREDICTED,YIELD_10Y,542,232,1982-01-22,2006-05-17,2006-06-14,2025-10-24
RF,1,0.607026397515528,0.25,92,140,0,0,92,140,1.0,0.0,0.0,1.0,0.39655172413793105,0.0,0.05,379,92,CPI_PREDICTED->YIELD_10Y,CPI_PREDICTED,YIELD_10Y,542,232,1982-01-22,2006-05-17,2006-06-14,2025-10-24
RF,1,0.607026397515528,0.3,89,128,3,12,92,140,0.967391304347826,0.03260869565217391,0.08571428571428572,0.9142857142857143,0.41013824884792627,0.09375,0.05,379,92,CPI_PREDICTED->YIELD_10Y,CPI_PREDICTED,YIELD_10Y,542,232,1982-01-22,2006-05-17,2006-06-14,2025-10-24
RF,1,0.607026397515528,0.35000000000000003,76,108,16,32,92,140,0.8260869565217391,0.17391304347826086,0.22857142857142856,0.7714285714285715,0.41304347826086957,0.2962962962962963,0.05,379,92,CPI_PREDICTED->YIELD_10Y,CPI_PREDICTED,YIELD_10Y,542,232,1982-01-22,2006-05-17,2006-06-14,2025-10-24
RF,1,0.607026397515528,0.4,65,84,27,56,92,140,0.7065217391304348,0.29347826086956524,0.4,0.6,0.436241610738255,0.6666666666666666,0.05,379,92,CPI_PREDICTED->YIELD_10Y,CPI_PREDICTED,YIELD_10Y,542,232,1982-01-22,2006-05-17,2006-06-14,2025-10-24
RF,1,0.607026397515528,0.45,43,46,49,94,92,140,0.4673913043478261,0.532608695652174,0.6714285714285714,0.32857142857142857,0.48314606741573035,2.0434782608695654,0.05,379,92,CPI_PREDICTED->YIELD_10Y,CPI_PREDICTED,YIELD_10Y,542,232,1982-01-22,2006-05-17,2006-06-14,2025-10-24
RF,1,0.607026397515528,0.5,25,16,67,124,92,140,0.2717391304347826,0.7282608695652174,0.8857142857142857,0.11428571428571428,0.6097560975609756,7.75,0.05,379,92,CPI_PREDICTED->YIELD_10Y,CPI_PREDICTED,YIELD_10Y,542,232,1982-01-22,2006-05-17,2006-06-14,2025-10-24
RF,1,0.607026397515528,0.55,9,2,83,138,92,140,0.09782608695652174,0.9021739130434783,0.9857142857142858,0.014285714285714285,0.8181818181818182,69.0,0.05,379,92,CPI_PREDICTED->YIELD_10Y,CPI_PREDICTED,YIELD_10Y,542,232,1982-01-22,2006-05-17,2006-06-14,2025-10-24
RF,1,0.607026397515528,0.6000000000000001,3,0,89,140,92,140,0.03260869565217391,0.967391304347826,1.0,0.0,1.0,inf,0.05,379,92,CPI_PREDICTED->YIELD_10Y,CPI_PREDICTED,YIELD_10Y,542,232,1982-01-22,2006-05-17,2006-06-14,2025-10-24
RF,1,0.607026397515528,0.6500000000000001,1,0,91,140,92,140,0.010869565217391304,0.9891304347826086,1.0,0.0,1.0,inf,0.05,379,92,CPI_PREDICTED->YIELD_10Y,CPI_PREDICTED,YIELD_10Y,542,232,1982-01-22,2006-05-17,2006-06-14,2025-10-24
RF,1,0.607026397515528,0.7000000000000001,0,0,92,140,92,140,0.0,1.0,1.0,0.0,0.0,inf,0.05,379,92,CPI_PREDICTED->YIELD_10Y,CPI_PREDICTED,YIELD_10Y,542,232,1982-01-22,2006-05-17,2006-06-14,2025-10-24
RF,1,0.607026397515528,0.7500000000000001,0,0,92,140,92,140,0.0,1.0,1.0,0.0,0.0,inf,0.05,379,92,CPI_PREDICTED->YIELD_10Y,CPI_PREDICTED,YIELD_10Y,542,232,1982-01-22,2006-05-17,2006-06-14,2025-10-24
RF,1,0.607026397515528,0.8,0,0,92,140,92,140,0.0,1.0,1.0,0.0,0.0,inf,0.05,379,92,CPI_PREDICTED->YIELD_10Y,CPI_PREDICTED,YIELD_10Y,542,232,1982-01-22,2006-05-17,2006-06-14,2025-10-24
RF,1,0.607026397515528,0.8500000000000001,0,0,92,140,92,140,0.0,1.0,1.0,0.0,0.0,inf,0.05,379,92,CPI_PREDICTED->YIELD_10Y,CPI_PREDICTED,YIELD_10Y,542,232,1982-01-22,2006-05-17,2006-06-14,2025-10-24
RF,1,0.607026397515528,0.9000000000000001,0,0,92,140,92,140,0.0,1.0,1.0,0.0,0.0,inf,0.05,379,92,CPI_PREDICTED->YIELD_10Y,CPI_PREDICTED,YIELD_10Y,542,232,1982-01-22,2006-05-17,2006-06-14,2025-10-24
RF,2,0.6426242236024844,0.05,92,140,0,0,92,140,1.0,0.0,0.0,1.0,0.39655172413793105,0.0,0.05,379,92,CPI_PREDICTED->YIELD_10Y,CPI_PREDICTED,YIELD_10Y,542,232,1982-01-22,2006-05-17,2006-06-14,2025-10-24
RF,2,0.6426242236024844,0.1,92,140,0,0,92,140,1.0,0.0,0.0,1.0,0.39655172413793105,0.0,0.05,379,92,CPI_PREDICTED->YIELD_10Y,CPI_PREDICTED,YIELD_10Y,542,232,1982-01-22,2006-05-17,2006-06-14,2025-10-24
RF,2,0.6426242236024844,0.15000000000000002,92,140,0,0,92,140,1.0,0.0,0.0,1.0,0.39655172413793105,0.0,0.05,379,92,CPI_PREDICTED->YIELD_10Y,CPI_PREDICTED,YIELD_10Y,542,232,1982-01-22,2006-05-17,2006-06-14,2025-10-24
RF,2,0.6426242236024844,0.2,92,140,0,0,92,140,1.0,0.0,0.0,1.0,0.39655172413793105,0.0,0.05,379,92,CPI_PREDICTED->YIELD_10Y,CPI_PREDICTED,YIELD_10Y,542,232,1982-01-22,2006-05-17,2006-06-14,2025-10-24
RF,2,0.6426242236024844,0.25,91,138,1,2,92,140,0.9891304347826086,0.010869565217391304,0.014285714285714285,0.9857142857142858,0.39737991266375544,0.014492753623188406,0.05,379,92,CPI_PREDICTED->YIELD_10Y,CPI_PREDICTED,YIELD_10Y,542,232,1982-01-22,2006-05-17,2006-06-14,2025-10-24
RF,2,0.6426242236024844,0.3,87,123,5,17,92,140,0.9456521739130435,0.05434782608695652,0.12142857142857143,0.8785714285714286,0.4142857142857143,0.13821138211382114,0.05,379,92,CPI_PREDICTED->YIELD_10Y,CPI_PREDICTED,YIELD_10Y,542,232,1982-01-22,2006-05-17,2006-06-14,2025-10-24
RF,2,0.6426242236024844,0.35000000000000003,75,88,17,52,92,140,0.8152173913043478,0.18478260869565216,0.37142857142857144,0.6285714285714286,0.4601226993865031,0.5909090909090909,0.05,379,92,CPI_PREDICTED->YIELD_10Y,CPI_PREDICTED,YIELD_10Y,542,232,1982-01-22,2006-05-17,2006-06-14,2025-10-24
RF,2,0.6426242236024844,0.4,61,69,31,71,92,140,0.6630434782608695,0.33695652173913043,0.5071428571428571,0.4928571428571429,0.46923076923076923,1.0289855072463767,0.05,379,92,CPI_PREDICTED->YIELD_10Y,CPI_PREDICTED,YIELD_10Y,542,232,1982-01-22,2006-05-17,2006-06-14,2025-10-24
RF,2,0.6426242236024844,0.45,45,45,47,95,92,140,0.4891304347826087,0.5108695652173914,0.6785714285714286,0.32142857142857145,0.5,2.111111111111111,0.05,379,92,CPI_PREDICTED->YIELD_10Y,CPI_PREDICTED,YIELD_10Y,542,232,1982-01-22,2006-05-17,2006-06-14,2025-10-24
RF,2,0.6426242236024844,0.5,28,17,64,123,92,140,0.30434782608695654,0.6956521739130435,0.8785714285714286,0.12142857142857143,0.6222222222222222,7.235294117647059,0.05,379,92,CPI_PREDICTED->YIELD_10Y,CPI_PREDICTED,YIELD_10Y,542,232,1982-01-22,2006-05-17,2006-06-14,2025-10-24
RF,2,0.6426242236024844,0.55,11,3,81,137,92,140,0.11956521739130435,0.8804347826086957,0.9785714285714285,0.02142857142857143,0.7857142857142857,45.666666666666664,0.05,379,92,CPI_PREDICTED->YIELD_10Y,CPI_PREDICTED,YIELD_10Y,542,232,1982-01-22,2006-05-17,2006-06-14,2025-10-24
RF,2,0.6426242236024844,0.6000000000000001,1,1,91,139,92,140,0.010869565217391304,0.9891304347826086,0.9928571428571429,0.007142857142857143,0.5,139.0,0.05,379,92,CPI_PREDICTED->YIELD_10Y,CPI_PREDICTED,YIELD_10Y,542,232,1982-01-22,2006-05-17,2006-06-14,2025-10-24
RF,2,0.6426242236024844,0.6500000000000001,0,0,92,140,92,140,0.0,1.0,1.0,0.0,0.0,inf,0.05,379,92,CPI_PREDICTED->YIELD_10Y,CPI_PREDICTED,YIELD_10Y,542,232,1982-01-22,2006-05-17,2006-06-14,2025-10-24
RF,2,0.6426242236024844,0.7000000000000001,0,0,92,140,92,140,0.0,1.0,1.0,0.0,0.0,inf,0.05,379,92,CPI_PREDICTED->YIELD_10Y,CPI_PREDICTED,YIELD_10Y,542,232,1982-01-22,2006-05-17,2006-06-14,2025-10-24
RF,2,0.6426242236024844,0.7500000000000001,0,0,92,140,92,140,0.0,1.0,1.0,0.0,0.0,inf,0.05,379,92,CPI_PREDICTED->YIELD_10Y,CPI_PREDICTED,YIELD_10Y,542,232,1982-01-22,2006-05-17,2006-06-14,2025-10-24
RF,2,0.6426242236024844,0.8,0,0,92,140,92,140,0.0,1.0,1.0,0.0,0.0,inf,0.05,379,92,CPI_PREDICTED->YIELD_10Y,CPI_PREDICTED,YIELD_10Y,542,232,1982-01-22,2006-05-17,2006-06-14,2025-10-24
RF,2,0.6426242236024844,0.8500000000000001,0,0,92,140,92,140,0.0,1.0,1.0,0.0,0.0,inf,0.05,379,92,CPI_PREDICTED->YIELD_10Y,CPI_PREDICTED,YIELD_10Y,542,232,1982-01-22,2006-05-17,2006-06-14,2025-10-24
RF,2,0.6426242236024844,0.9000000000000001,0,0,92,140,92,140,0.0,1.0,1.0,0.0,0.0,inf,0.05,379,92,CPI_PREDICTED->YIELD_10Y,CPI_PREDICTED,YIELD_10Y,542,232,1982-01-22,2006-05-17,2006-06-14,2025-10-24
