model,weight,auc,prob_threshold,TP,FP,FN,TN,n_positive,n_negative,recall,fn_rate,specificity,fp_rate,precision,tn_fp_ratio,large_threshold,n_train_large,n_test_large,mapping,event,instrument,n_train,n_test,train_start,train_end,test_start,test_end
RF,1,0.571825764596849,0.05,104,166,0,0,104,166,1.0,0.0,0.0,1.0,0.3851851851851852,0.0,0.05,406,104,CPI->YIELD_10Y,CPI,YIELD_10Y,633,270,1972-07-21,2003-01-16,2003-02-21,2025-10-24
RF,1,0.571825764596849,0.1,103,163,1,3,104,166,0.9903846153846154,0.009615384615384616,0.018072289156626505,0.9819277108433735,0.38721804511278196,0.018404907975460124,0.05,406,104,CPI->YIELD_10Y,CPI,YIELD_10Y,633,270,1972-07-21,2003-01-16,2003-02-21,2025-10-24
RF,1,0.571825764596849,0.15000000000000002,98,157,6,9,104,166,0.9423076923076923,0.057692307692307696,0.05421686746987952,0.9457831325301205,0.3843137254901961,0.05732484076433121,0.05,406,104,CPI->YIELD_10Y,CPI,YIELD_10Y,633,270,1972-07-21,2003-01-16,2003-02-21,2025-10-24
RF,1,0.571825764596849,0.2,90,141,14,25,104,166,0.8653846153846154,0.1346153846153846,0.15060240963855423,0.8493975903614458,0.38961038961038963,0.1773049645390071,0.05,406,104,CPI->YIELD_10Y,CPI,YIELD_10Y,633,270,1972-07-21,2003-01-16,2003-02-21,2025-10-24
RF,1,0.571825764596849,0.25,73,112,31,54,104,166,0.7019230769230769,0.2980769230769231,0.3253012048192771,0.6746987951807228,0.3945945945945946,0.48214285714285715,0.05,406,104,CPI->YIELD_10Y,CPI,YIELD_10Y,633,270,1972-07-21,2003-01-16,2003-02-21,2025-10-24
RF,1,0.571825764596849,0.3,55,66,49,100,104,166,0.5288461538461539,0.47115384615384615,0.6024096385542169,0.39759036144578314,0.45454545454545453,1.5151515151515151,0.05,406,104,CPI->YIELD_10Y,CPI,YIELD_10Y,633,270,1972-07-21,2003-01-16,2003-02-21,2025-10-24
RF,1,0.571825764596849,0.35000000000000003,40,43,64,123,104,166,0.38461538461538464,0.6153846153846154,0.7409638554216867,0.25903614457831325,0.4819277108433735,2.86046511627907,0.05,406,104,CPI->YIELD_10Y,CPI,YIELD_10Y,633,270,1972-07-21,2003-01-16,2003-02-21,2025-10-24
RF,1,0.571825764596849,0.4,30,28,74,138,104,166,0.28846153846153844,0.7115384615384616,0.8313253012048193,0.1686746987951807,0.5172413793103449,4.928571428571429,0.05,406,104,CPI->YIELD_10Y,CPI,YIELD_10Y,633,270,1972-07-21,2003-01-16,2003-02-21,2025-10-24
RF,1,0.571825764596849,0.45,21,14,83,152,104,166,0.20192307692307693,0.7980769230769231,0.9156626506024096,0.08433734939759036,0.6,10.857142857142858,0.05,406,104,CPI->YIELD_10Y,CPI,YIELD_10Y,633,270,1972-07-21,2003-01-16,2003-02-21,2025-10-24
RF,1,0.571825764596849,0.5,14,5,90,161,104,166,0.1346153846153846,0.8653846153846154,0.9698795180722891,0.030120481927710843,0.7368421052631579,32.2,0.05,406,104,CPI->YIELD_10Y,CPI,YIELD_10Y,633,270,1972-07-21,2003-01-16,2003-02-21,2025-10-24
RF,1,0.571825764596849,0.55,8,1,96,165,104,166,0.07692307692307693,0.9230769230769231,0.9939759036144579,0.006024096385542169,0.8888888888888888,165.0,0.05,406,104,CPI->YIELD_10Y,CPI,YIELD_10Y,633,270,1972-07-21,2003-01-16,2003-02-21,2025-10-24
RF,1,0.571825764596849,0.6000000000000001,2,0,102,166,104,166,0.019230769230769232,0.9807692307692307,1.0,0.0,1.0,inf,0.05,406,104,CPI->YIELD_10Y,CPI,YIELD_10Y,633,270,1972-07-21,2003-01-16,2003-02-21,2025-10-24
RF,1,0.571825764596849,0.6500000000000001,0,0,104,166,104,166,0.0,1.0,1.0,0.0,0.0,inf,0.05,406,104,CPI->YIELD_10Y,CPI,YIELD_10Y,633,270,1972-07-21,2003-01-16,2003-02-21,2025-10-24
RF,1,0.571825764596849,0.7000000000000001,0,0,104,166,104,166,0.0,1.0,1.0,0.0,0.0,inf,0.05,406,104,CPI->YIELD_10Y,CPI,YIELD_10Y,633,270,1972-07-21,2003-01-16,2003-02-21,2025-10-24
RF,1,0.571825764596849,0.7500000000000001,0,0,104,166,104,166,0.0,1.0,1.0,0.0,0.0,inf,0.05,406,104,CPI->YIELD_10Y,CPI,YIELD_10Y,633,270,1972-07-21,2003-01-16,2003-02-21,2025-10-24
RF,1,0.571825764596849,0.8,0,0,104,166,104,166,0.0,1.0,1.0,0.0,0.0,inf,0.05,406,104,CPI->YIELD_10Y,CPI,YIELD_10Y,633,270,1972-07-21,2003-01-16,2003-02-21,2025-10-24
RF,1,0.571825764596849,0.8500000000000001,0,0,104,166,104,166,0.0,1.0,1.0,0.0,0.0,inf,0.05,406,104,CPI->YIELD_10Y,CPI,YIELD_10Y,633,270,1972-07-21,2003-01-16,2003-02-21,2025-10-24
