model,weight,auc,prob_threshold,TP,FP,FN,TN,n_positive,n_negative,recall,fn_rate,specificity,fp_rate,precision,tn_fp_ratio,large_threshold,n_train_large,n_test_large
RF,1,0.6476190476190475,0.05,34,75,1,18,35,93,0.9714285714285714,0.02857142857142857,0.1935483870967742,0.8064516129032258,0.3119266055045872,0.24,1.0,65,35
RF,1,0.6476190476190475,0.1,31,56,4,37,35,93,0.8857142857142857,0.11428571428571428,0.3978494623655914,0.6021505376344086,0.3563218390804598,0.6607142857142857,1.0,65,35
RF,1,0.6476190476190475,0.15000000000000002,25,43,10,50,35,93,0.7142857142857143,0.2857142857142857,0.5376344086021505,0.46236559139784944,0.36764705882352944,1.1627906976744187,1.0,65,35
RF,1,0.6476190476190475,0.2,22,35,13,58,35,93,0.6285714285714286,0.37142857142857144,0.6236559139784946,0.3763440860215054,0.38596491228070173,1.6571428571428573,1.0,65,35
RF,1,0.6476190476190475,0.25,17,30,18,63,35,93,0.4857142857142857,0.5142857142857142,0.6774193548387096,0.3225806451612903,0.3617021276595745,2.1,1.0,65,35
RF,1,0.6476190476190475,0.3,10,20,25,73,35,93,0.2857142857142857,0.7142857142857143,0.7849462365591398,0.21505376344086022,0.3333333333333333,3.65,1.0,65,35
RF,1,0.6476190476190475,0.35000000000000003,8,13,27,80,35,93,0.22857142857142856,0.7714285714285715,0.8602150537634409,0.13978494623655913,0.38095238095238093,6.153846153846154,1.0,65,35
RF,1,0.6476190476190475,0.4,4,9,31,84,35,93,0.11428571428571428,0.8857142857142857,0.9032258064516129,0.0967741935483871,0.3076923076923077,9.333333333333334,1.0,65,35
RF,1,0.6476190476190475,0.45,2,6,33,87,35,93,0.05714285714285714,0.9428571428571428,0.9354838709677419,0.06451612903225806,0.25,14.5,1.0,65,35
RF,1,0.6476190476190475,0.5,1,2,34,91,35,93,0.02857142857142857,0.9714285714285714,0.978494623655914,0.021505376344086023,0.3333333333333333,45.5,1.0,65,35
RF,1,0.6476190476190475,0.55,0,0,35,93,35,93,0.0,1.0,1.0,0.0,0.0,inf,1.0,65,35
RF,1,0.6476190476190475,0.6000000000000001,0,0,35,93,35,93,0.0,1.0,1.0,0.0,0.0,inf,1.0,65,35
RF,1,0.6476190476190475,0.6500000000000001,0,0,35,93,35,93,0.0,1.0,1.0,0.0,0.0,inf,1.0,65,35
RF,1,0.6476190476190475,0.7000000000000001,0,0,35,93,35,93,0.0,1.0,1.0,0.0,0.0,inf,1.0,65,35
RF,1,0.6476190476190475,0.7500000000000001,0,0,35,93,35,93,0.0,1.0,1.0,0.0,0.0,inf,1.0,65,35
RF,1,0.6476190476190475,0.8,0,0,35,93,35,93,0.0,1.0,1.0,0.0,0.0,inf,1.0,65,35
RF,1,0.6476190476190475,0.8500000000000001,0,0,35,93,35,93,0.0,1.0,1.0,0.0,0.0,inf,1.0,65,35
RF,1,0.6476190476190475,0.9000000000000001,0,0,35,93,35,93,0.0,1.0,1.0,0.0,0.0,inf,1.0,65,35
RF,2,0.6599078341013824,0.05,34,77,1,16,35,93,0.9714285714285714,0.02857142857142857,0.17204301075268819,0.8279569892473119,0.3063063063063063,0.2077922077922078,1.0,65,35
RF,2,0.6599078341013824,0.1,32,60,3,33,35,93,0.9142857142857143,0.08571428571428572,0.3548387096774194,0.6451612903225806,0.34782608695652173,0.55,1.0,65,35
RF,2,0.6599078341013824,0.15000000000000002,28,54,7,39,35,93,0.8,0.2,0.41935483870967744,0.5806451612903226,0.34146341463414637,0.7222222222222222,1.0,65,35
RF,2,0.6599078341013824,0.2,24,45,11,48,35,93,0.6857142857142857,0.3142857142857143,0.5161290322580645,0.4838709677419355,0.34782608695652173,1.0666666666666667,1.0,65,35
RF,2,0.6599078341013824,0.25,22,34,13,59,35,93,0.6285714285714286,0.37142857142857144,0.6344086021505376,0.3655913978494624,0.39285714285714285,1.7352941176470589,1.0,65,35
RF,2,0.6599078341013824,0.3,19,28,16,65,35,93,0.5428571428571428,0.45714285714285713,0.6989247311827957,0.3010752688172043,0.40425531914893614,2.3214285714285716,1.0,65,35
RF,2,0.6599078341013824,0.35000000000000003,12,22,23,71,35,93,0.34285714285714286,0.6571428571428571,0.7634408602150538,0.23655913978494625,0.35294117647058826,3.227272727272727,1.0,65,35
RF,2,0.6599078341013824,0.4,9,15,26,78,35,93,0.2571428571428571,0.7428571428571429,0.8387096774193549,0.16129032258064516,0.375,5.2,1.0,65,35
RF,2,0.6599078341013824,0.45,6,11,29,82,35,93,0.17142857142857143,0.8285714285714286,0.8817204301075269,0.11827956989247312,0.35294117647058826,7.454545454545454,1.0,65,35
RF,2,0.6599078341013824,0.5,3,7,32,86,35,93,0.08571428571428572,0.9142857142857143,0.9247311827956989,0.07526881720430108,0.3,12.285714285714286,1.0,65,35
RF,2,0.6599078341013824,0.55,1,3,34,90,35,93,0.02857142857142857,0.9714285714285714,0.967741935483871,0.03225806451612903,0.25,30.0,1.0,65,35
RF,2,0.6599078341013824,0.6000000000000001,0,0,35,93,35,93,0.0,1.0,1.0,0.0,0.0,inf,1.0,65,35
RF,2,0.6599078341013824,0.6500000000000001,0,0,35,93,35,93,0.0,1.0,1.0,0.0,0.0,inf,1.0,65,35
RF,2,0.6599078341013824,0.7000000000000001,0,0,35,93,35,93,0.0,1.0,1.0,0.0,0.0,inf,1.0,65,35
RF,2,0.6599078341013824,0.7500000000000001,0,0,35,93,35,93,0.0,1.0,1.0,0.0,0.0,inf,1.0,65,35
RF,2,0.6599078341013824,0.8,0,0,35,93,35,93,0.0,1.0,1.0,0.0,0.0,inf,1.0,65,35
RF,2,0.6599078341013824,0.8500000000000001,0,0,35,93,35,93,0.0,1.0,1.0,0.0,0.0,inf,1.0,65,35
RF,2,0.6599078341013824,0.9000000000000001,0,0,35,93,35,93,0.0,1.0,1.0,0.0,0.0,inf,1.0,65,35
RF,3,0.6543778801843317,0.05,35,83,0,10,35,93,1.0,0.0,0.10752688172043011,0.8924731182795699,0.2966101694915254,0.12048192771084337,1.0,65,35
RF,3,0.6543778801843317,0.1,33,66,2,27,35,93,0.9428571428571428,0.05714285714285714,0.2903225806451613,0.7096774193548387,0.3333333333333333,0.4090909090909091,1.0,65,35
RF,3,0.6543778801843317,0.15000000000000002,29,57,6,36,35,93,0.8285714285714286,0.17142857142857143,0.3870967741935484,0.6129032258064516,0.3372093023255814,0.631578947368421,1.0,65,35
RF,3,0.6543778801843317,0.2,26,42,9,51,35,93,0.7428571428571429,0.2571428571428571,0.5483870967741935,0.45161290322580644,0.38235294117647056,1.2142857142857142,1.0,65,35
RF,3,0.6543778801843317,0.25,22,38,13,55,35,93,0.6285714285714286,0.37142857142857144,0.5913978494623656,0.40860215053763443,0.36666666666666664,1.4473684210526316,1.0,65,35
RF,3,0.6543778801843317,0.3,19,31,16,62,35,93,0.5428571428571428,0.45714285714285713,0.6666666666666666,0.3333333333333333,0.38,2.0,1.0,65,35
RF,3,0.6543778801843317,0.35000000000000003,13,27,22,66,35,93,0.37142857142857144,0.6285714285714286,0.7096774193548387,0.2903225806451613,0.325,2.4444444444444446,1.0,65,35
RF,3,0.6543778801843317,0.4,11,19,24,74,35,93,0.3142857142857143,0.6857142857142857,0.7956989247311828,0.20430107526881722,0.36666666666666664,3.8947368421052633,1.0,65,35
RF,3,0.6543778801843317,0.45,8,14,27,79,35,93,0.22857142857142856,0.7714285714285715,0.8494623655913979,0.15053763440860216,0.36363636363636365,5.642857142857143,1.0,65,35
RF,3,0.6543778801843317,0.5,6,11,29,82,35,93,0.17142857142857143,0.8285714285714286,0.8817204301075269,0.11827956989247312,0.35294117647058826,7.454545454545454,1.0,65,35
RF,3,0.6543778801843317,0.55,3,7,32,86,35,93,0.08571428571428572,0.9142857142857143,0.9247311827956989,0.07526881720430108,0.3,12.285714285714286,1.0,65,35
RF,3,0.6543778801843317,0.6000000000000001,2,2,33,91,35,93,0.05714285714285714,0.9428571428571428,0.978494623655914,0.021505376344086023,0.5,45.5,1.0,65,35
RF,3,0.6543778801843317,0.6500000000000001,0,0,35,93,35,93,0.0,1.0,1.0,0.0,0.0,inf,1.0,65,35
RF,3,0.6543778801843317,0.7000000000000001,0,0,35,93,35,93,0.0,1.0,1.0,0.0,0.0,inf,1.0,65,35
RF,3,0.6543778801843317,0.7500000000000001,0,0,35,93,35,93,0.0,1.0,1.0,0.0,0.0,inf,1.0,65,35
RF,3,0.6543778801843317,0.8,0,0,35,93,35,93,0.0,1.0,1.0,0.0,0.0,inf,1.0,65,35
RF,3,0.6543778801843317,0.8500000000000001,0,0,35,93,35,93,0.0,1.0,1.0,0.0,0.0,inf,1.0,65,35
RF,3,0.6543778801843317,0.9000000000000001,0,0,35,93,35,93,0.0,1.0,1.0,0.0,0.0,inf,1.0,65,35
RF,5,0.6513056835637481,0.05,34,82,1,11,35,93,0.9714285714285714,0.02857142857142857,0.11827956989247312,0.8817204301075269,0.29310344827586204,0.13414634146341464,1.0,65,35
RF,5,0.6513056835637481,0.1,34,68,1,25,35,93,0.9714285714285714,0.02857142857142857,0.26881720430107525,0.7311827956989247,0.3333333333333333,0.36764705882352944,1.0,65,35
RF,5,0.6513056835637481,0.15000000000000002,31,58,4,35,35,93,0.8857142857142857,0.11428571428571428,0.3763440860215054,0.6236559139784946,0.34831460674157305,0.603448275862069,1.0,65,35
RF,5,0.6513056835637481,0.2,28,53,7,40,35,93,0.8,0.2,0.43010752688172044,0.5698924731182796,0.345679012345679,0.7547169811320755,1.0,65,35
RF,5,0.6513056835637481,0.25,26,44,9,49,35,93,0.7428571428571429,0.2571428571428571,0.5268817204301075,0.4731182795698925,0.37142857142857144,1.1136363636363635,1.0,65,35
RF,5,0.6513056835637481,0.3,20,39,15,54,35,93,0.5714285714285714,0.42857142857142855,0.5806451612903226,0.41935483870967744,0.3389830508474576,1.3846153846153846,1.0,65,35
RF,5,0.6513056835637481,0.35000000000000003,18,30,17,63,35,93,0.5142857142857142,0.4857142857142857,0.6774193548387096,0.3225806451612903,0.375,2.1,1.0,65,35
RF,5,0.6513056835637481,0.4,13,25,22,68,35,93,0.37142857142857144,0.6285714285714286,0.7311827956989247,0.26881720430107525,0.34210526315789475,2.72,1.0,65,35
RF,5,0.6513056835637481,0.45,11,23,24,70,35,93,0.3142857142857143,0.6857142857142857,0.7526881720430108,0.24731182795698925,0.3235294117647059,3.0434782608695654,1.0,65,35
RF,5,0.6513056835637481,0.5,9,17,26,76,35,93,0.2571428571428571,0.7428571428571429,0.8172043010752689,0.1827956989247312,0.34615384615384615,4.470588235294118,1.0,65,35
RF,5,0.6513056835637481,0.55,6,12,29,81,35,93,0.17142857142857143,0.8285714285714286,0.8709677419354839,0.12903225806451613,0.3333333333333333,6.75,1.0,65,35
RF,5,0.6513056835637481,0.6000000000000001,3,8,32,85,35,93,0.08571428571428572,0.9142857142857143,0.9139784946236559,0.08602150537634409,0.2727272727272727,10.625,1.0,65,35
RF,5,0.6513056835637481,0.6500000000000001,2,4,33,89,35,93,0.05714285714285714,0.9428571428571428,0.956989247311828,0.043010752688172046,0.3333333333333333,22.25,1.0,65,35
RF,5,0.6513056835637481,0.7000000000000001,1,3,34,90,35,93,0.02857142857142857,0.9714285714285714,0.967741935483871,0.03225806451612903,0.25,30.0,1.0,65,35
RF,5,0.6513056835637481,0.7500000000000001,0,0,35,93,35,93,0.0,1.0,1.0,0.0,0.0,inf,1.0,65,35
RF,5,0.6513056835637481,0.8,0,0,35,93,35,93,0.0,1.0,1.0,0.0,0.0,inf,1.0,65,35
RF,5,0.6513056835637481,0.8500000000000001,0,0,35,93,35,93,0.0,1.0,1.0,0.0,0.0,inf,1.0,65,35
RF,5,0.6513056835637481,0.9000000000000001,0,0,35,93,35,93,0.0,1.0,1.0,0.0,0.0,inf,1.0,65,35
RF,8,0.6620583717357911,0.05,34,82,1,11,35,93,0.9714285714285714,0.02857142857142857,0.11827956989247312,0.8817204301075269,0.29310344827586204,0.13414634146341464,1.0,65,35
RF,8,0.6620583717357911,0.1,34,70,1,23,35,93,0.9714285714285714,0.02857142857142857,0.24731182795698925,0.7526881720430108,0.3269230769230769,0.32857142857142857,1.0,65,35
RF,8,0.6620583717357911,0.15000000000000002,32,59,3,34,35,93,0.9142857142857143,0.08571428571428572,0.3655913978494624,0.6344086021505376,0.3516483516483517,0.576271186440678,1.0,65,35
RF,8,0.6620583717357911,0.2,30,56,5,37,35,93,0.8571428571428571,0.14285714285714285,0.3978494623655914,0.6021505376344086,0.3488372093023256,0.6607142857142857,1.0,65,35
RF,8,0.6620583717357911,0.25,29,48,6,45,35,93,0.8285714285714286,0.17142857142857143,0.4838709677419355,0.5161290322580645,0.37662337662337664,0.9375,1.0,65,35
RF,8,0.6620583717357911,0.3,26,43,9,50,35,93,0.7428571428571429,0.2571428571428571,0.5376344086021505,0.46236559139784944,0.37681159420289856,1.1627906976744187,1.0,65,35
RF,8,0.6620583717357911,0.35000000000000003,23,37,12,56,35,93,0.6571428571428571,0.34285714285714286,0.6021505376344086,0.3978494623655914,0.38333333333333336,1.5135135135135136,1.0,65,35
RF,8,0.6620583717357911,0.4,17,31,18,62,35,93,0.4857142857142857,0.5142857142857142,0.6666666666666666,0.3333333333333333,0.3541666666666667,2.0,1.0,65,35
RF,8,0.6620583717357911,0.45,13,22,22,71,35,93,0.37142857142857144,0.6285714285714286,0.7634408602150538,0.23655913978494625,0.37142857142857144,3.227272727272727,1.0,65,35
RF,8,0.6620583717357911,0.5,11,20,24,73,35,93,0.3142857142857143,0.6857142857142857,0.7849462365591398,0.21505376344086022,0.3548387096774194,3.65,1.0,65,35
RF,8,0.6620583717357911,0.55,8,16,27,77,35,93,0.22857142857142856,0.7714285714285715,0.8279569892473119,0.17204301075268819,0.3333333333333333,4.8125,1.0,65,35
RF,8,0.6620583717357911,0.6000000000000001,5,12,30,81,35,93,0.14285714285714285,0.8571428571428571,0.8709677419354839,0.12903225806451613,0.29411764705882354,6.75,1.0,65,35
RF,8,0.6620583717357911,0.6500000000000001,3,9,32,84,35,93,0.08571428571428572,0.9142857142857143,0.9032258064516129,0.0967741935483871,0.25,9.333333333333334,1.0,65,35
RF,8,0.6620583717357911,0.7000000000000001,3,4,32,89,35,93,0.08571428571428572,0.9142857142857143,0.956989247311828,0.043010752688172046,0.42857142857142855,22.25,1.0,65,35
RF,8,0.6620583717357911,0.7500000000000001,0,2,35,91,35,93,0.0,1.0,0.978494623655914,0.021505376344086023,0.0,45.5,1.0,65,35
RF,8,0.6620583717357911,0.8,0,0,35,93,35,93,0.0,1.0,1.0,0.0,0.0,inf,1.0,65,35
RF,8,0.6620583717357911,0.8500000000000001,0,0,35,93,35,93,0.0,1.0,1.0,0.0,0.0,inf,1.0,65,35
RF,8,0.6620583717357911,0.9000000000000001,0,0,35,93,35,93,0.0,1.0,1.0,0.0,0.0,inf,1.0,65,35
RF,10,0.6565284178187404,0.05,35,78,0,15,35,93,1.0,0.0,0.16129032258064516,0.8387096774193549,0.30973451327433627,0.19230769230769232,1.0,65,35
RF,10,0.6565284178187404,0.1,34,65,1,28,35,93,0.9714285714285714,0.02857142857142857,0.3010752688172043,0.6989247311827957,0.3434343434343434,0.4307692307692308,1.0,65,35
RF,10,0.6565284178187404,0.15000000000000002,33,60,2,33,35,93,0.9428571428571428,0.05714285714285714,0.3548387096774194,0.6451612903225806,0.3548387096774194,0.55,1.0,65,35
RF,10,0.6565284178187404,0.2,30,54,5,39,35,93,0.8571428571428571,0.14285714285714285,0.41935483870967744,0.5806451612903226,0.35714285714285715,0.7222222222222222,1.0,65,35
RF,10,0.6565284178187404,0.25,28,49,7,44,35,93,0.8,0.2,0.4731182795698925,0.5268817204301075,0.36363636363636365,0.8979591836734694,1.0,65,35
RF,10,0.6565284178187404,0.3,25,46,10,47,35,93,0.7142857142857143,0.2857142857142857,0.5053763440860215,0.4946236559139785,0.352112676056338,1.0217391304347827,1.0,65,35
RF,10,0.6565284178187404,0.35000000000000003,21,38,14,55,35,93,0.6,0.4,0.5913978494623656,0.40860215053763443,0.3559322033898305,1.4473684210526316,1.0,65,35
RF,10,0.6565284178187404,0.4,17,29,18,64,35,93,0.4857142857142857,0.5142857142857142,0.6881720430107527,0.3118279569892473,0.3695652173913043,2.206896551724138,1.0,65,35
RF,10,0.6565284178187404,0.45,14,23,21,70,35,93,0.4,0.6,0.7526881720430108,0.24731182795698925,0.3783783783783784,3.0434782608695654,1.0,65,35
RF,10,0.6565284178187404,0.5,13,22,22,71,35,93,0.37142857142857144,0.6285714285714286,0.7634408602150538,0.23655913978494625,0.37142857142857144,3.227272727272727,1.0,65,35
RF,10,0.6565284178187404,0.55,9,18,26,75,35,93,0.2571428571428571,0.7428571428571429,0.8064516129032258,0.1935483870967742,0.3333333333333333,4.166666666666667,1.0,65,35
RF,10,0.6565284178187404,0.6000000000000001,8,16,27,77,35,93,0.22857142857142856,0.7714285714285715,0.8279569892473119,0.17204301075268819,0.3333333333333333,4.8125,1.0,65,35
RF,10,0.6565284178187404,0.6500000000000001,5,10,30,83,35,93,0.14285714285714285,0.8571428571428571,0.8924731182795699,0.10752688172043011,0.3333333333333333,8.3,1.0,65,35
RF,10,0.6565284178187404,0.7000000000000001,3,6,32,87,35,93,0.08571428571428572,0.9142857142857143,0.9354838709677419,0.06451612903225806,0.3333333333333333,14.5,1.0,65,35
RF,10,0.6565284178187404,0.7500000000000001,2,3,33,90,35,93,0.05714285714285714,0.9428571428571428,0.967741935483871,0.03225806451612903,0.4,30.0,1.0,65,35
RF,10,0.6565284178187404,0.8,0,2,35,91,35,93,0.0,1.0,0.978494623655914,0.021505376344086023,0.0,45.5,1.0,65,35
RF,10,0.6565284178187404,0.8500000000000001,0,0,35,93,35,93,0.0,1.0,1.0,0.0,0.0,inf,1.0,65,35
RF,10,0.6565284178187404,0.9000000000000001,0,0,35,93,35,93,0.0,1.0,1.0,0.0,0.0,inf,1.0,65,35
RF,15,0.6682027649769585,0.05,35,84,0,9,35,93,1.0,0.0,0.0967741935483871,0.9032258064516129,0.29411764705882354,0.10714285714285714,1.0,65,35
RF,15,0.6682027649769585,0.1,34,72,1,21,35,93,0.9714285714285714,0.02857142857142857,0.22580645161290322,0.7741935483870968,0.32075471698113206,0.2916666666666667,1.0,65,35
RF,15,0.6682027649769585,0.15000000000000002,34,59,1,34,35,93,0.9714285714285714,0.02857142857142857,0.3655913978494624,0.6344086021505376,0.3655913978494624,0.576271186440678,1.0,65,35
RF,15,0.6682027649769585,0.2,33,58,2,35,35,93,0.9428571428571428,0.05714285714285714,0.3763440860215054,0.6236559139784946,0.3626373626373626,0.603448275862069,1.0,65,35
RF,15,0.6682027649769585,0.25,31,51,4,42,35,93,0.8857142857142857,0.11428571428571428,0.45161290322580644,0.5483870967741935,0.3780487804878049,0.8235294117647058,1.0,65,35
RF,15,0.6682027649769585,0.3,26,48,9,45,35,93,0.7428571428571429,0.2571428571428571,0.4838709677419355,0.5161290322580645,0.35135135135135137,0.9375,1.0,65,35
RF,15,0.6682027649769585,0.35000000000000003,25,42,10,51,35,93,0.7142857142857143,0.2857142857142857,0.5483870967741935,0.45161290322580644,0.373134328358209,1.2142857142857142,1.0,65,35
RF,15,0.6682027649769585,0.4,20,35,15,58,35,93,0.5714285714285714,0.42857142857142855,0.6236559139784946,0.3763440860215054,0.36363636363636365,1.6571428571428573,1.0,65,35
RF,15,0.6682027649769585,0.45,15,25,20,68,35,93,0.42857142857142855,0.5714285714285714,0.7311827956989247,0.26881720430107525,0.375,2.72,1.0,65,35
RF,15,0.6682027649769585,0.5,13,23,22,70,35,93,0.37142857142857144,0.6285714285714286,0.7526881720430108,0.24731182795698925,0.3611111111111111,3.0434782608695654,1.0,65,35
RF,15,0.6682027649769585,0.55,10,19,25,74,35,93,0.2857142857142857,0.7142857142857143,0.7956989247311828,0.20430107526881722,0.3448275862068966,3.8947368421052633,1.0,65,35
RF,15,0.6682027649769585,0.6000000000000001,9,17,26,76,35,93,0.2571428571428571,0.7428571428571429,0.8172043010752689,0.1827956989247312,0.34615384615384615,4.470588235294118,1.0,65,35
RF,15,0.6682027649769585,0.6500000000000001,7,14,28,79,35,93,0.2,0.8,0.8494623655913979,0.15053763440860216,0.3333333333333333,5.642857142857143,1.0,65,35
RF,15,0.6682027649769585,0.7000000000000001,5,7,30,86,35,93,0.14285714285714285,0.8571428571428571,0.9247311827956989,0.07526881720430108,0.4166666666666667,12.285714285714286,1.0,65,35
